epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.7687,3.63079,3.84054,3.28896,0,0,0,0,5.05718,8.00113,15.3096,0.00327778,0.00327778,0.00327778
2,92.8784,2.87449,2.94189,2.30944,0.00147,0.04045,0.00142,0.00034,3.662,4.10954,4.00803,0.0065979,0.0065979,0.0065979
3,129.846,2.63569,2.69234,2.13525,0.12341,0.19649,0.10255,0.04085,2.41851,6.15661,2.28359,0.00990471,0.00990471,0.00990471
4,165.291,2.41675,2.43777,1.9882,0.21328,0.21886,0.14141,0.05144,2.31438,2.42759,2.07712,0.00994006,0.00994006,0.00994006
5,201.988,2.33937,2.35207,1.92406,0.45437,0.12634,0.11193,0.04139,2.67144,5.65151,2.53698,0.00992008,0.00992008,0.00992008
6,237.933,2.23748,2.18794,1.85066,0.20582,0.23029,0.17284,0.07359,2.18886,2.39401,1.92517,0.0099001,0.0099001,0.0099001
7,274.945,2.16195,2.11743,1.81049,0.21293,0.22879,0.17336,0.07299,2.22301,2.76433,2.01762,0.00988012,0.00988012,0.00988012
8,310.47,2.15287,2.06425,1.7975,0.40915,0.28351,0.21307,0.09026,2.17102,2.07644,1.93571,0.00986014,0.00986014,0.00986014
9,347.014,2.10204,2.0252,1.76088,0.21881,0.25841,0.21513,0.09193,2.08122,2.03769,1.83985,0.00984016,0.00984016,0.00984016
10,382.707,2.06405,1.96857,1.74319,0.25827,0.2999,0.23254,0.09611,2.12502,1.93946,1.88812,0.00982018,0.00982018,0.00982018
11,419.175,2.04757,1.93454,1.72173,0.42215,0.30251,0.25036,0.11017,2.00127,2.11156,1.78576,0.0098002,0.0098002,0.0098002
12,455.059,2.01959,1.88797,1.71725,0.39197,0.33725,0.26378,0.11163,1.98966,2.18722,1.74525,0.00978022,0.00978022,0.00978022
13,491.082,2.00704,1.87616,1.70914,0.42726,0.29883,0.24277,0.10439,2.07256,2.07382,1.81078,0.00976024,0.00976024,0.00976024
14,527.173,1.9913,1.84523,1.68673,0.40974,0.38254,0.31251,0.15003,1.92254,1.73166,1.69547,0.00974026,0.00974026,0.00974026
15,563.306,1.97885,1.82747,1.68401,0.44642,0.30173,0.26632,0.11433,2.01893,1.85092,1.74418,0.00972028,0.00972028,0.00972028
16,599.308,1.96299,1.81545,1.67618,0.44637,0.36184,0.25581,0.10928,2.06199,1.87222,1.79215,0.0097003,0.0097003,0.0097003
17,635.896,1.94886,1.77468,1.65844,0.41078,0.35017,0.25825,0.10797,2.10623,1.76104,1.83877,0.00968032,0.00968032,0.00968032
18,673.542,1.94489,1.76715,1.65189,0.41103,0.34835,0.29565,0.13928,1.88519,1.90245,1.69682,0.00966034,0.00966034,0.00966034
19,710.924,1.92353,1.73365,1.64892,0.28303,0.41563,0.29125,0.14167,1.88313,1.6672,1.67697,0.00964036,0.00964036,0.00964036
20,748.486,1.91521,1.73292,1.64092,0.64147,0.30809,0.33466,0.17051,1.98058,1.72881,1.70821,0.00962038,0.00962038,0.00962038
21,786.639,1.9175,1.72646,1.64344,0.49071,0.52162,0.3408,0.17572,1.83314,1.76212,1.62499,0.0096004,0.0096004,0.0096004
22,823.484,1.8917,1.70472,1.63804,0.583,0.36402,0.29259,0.13423,1.9124,1.74948,1.69403,0.00958042,0.00958042,0.00958042
23,859.724,1.9136,1.70425,1.62376,0.54732,0.49618,0.35189,0.17303,1.99992,1.68657,1.73433,0.00956044,0.00956044,0.00956044
24,895.205,1.91126,1.69557,1.63094,0.58935,0.46632,0.36291,0.1793,1.9295,1.63871,1.6965,0.00954046,0.00954046,0.00954046
25,930.67,1.88521,1.69018,1.61534,0.59587,0.39253,0.35563,0.18664,1.90146,1.64046,1.67595,0.00952048,0.00952048,0.00952048
26,966.199,1.86422,1.65671,1.60287,0.54726,0.37263,0.34569,0.18707,1.85043,1.66548,1.65192,0.0095005,0.0095005,0.0095005
27,1001.56,1.86433,1.64281,1.60885,0.56488,0.50487,0.33781,0.17679,1.94828,1.67182,1.72383,0.00948052,0.00948052,0.00948052
28,1036.8,1.86094,1.65089,1.58622,0.60117,0.39568,0.34507,0.173,1.84152,1.63546,1.62002,0.00946054,0.00946054,0.00946054
29,1072.35,1.85484,1.66207,1.59807,0.49816,0.42737,0.30168,0.14694,1.89614,1.64178,1.65346,0.00944056,0.00944056,0.00944056
30,1109.38,1.83865,1.63877,1.59317,0.46011,0.42768,0.3596,0.18205,1.81045,1.58831,1.60537,0.00942058,0.00942058,0.00942058
31,1146.34,1.84883,1.64688,1.58748,0.61087,0.41678,0.32274,0.16477,1.91643,1.60638,1.66688,0.0094006,0.0094006,0.0094006
32,1183.04,1.8259,1.61337,1.57765,0.50732,0.42307,0.37188,0.18581,1.91679,1.60463,1.70157,0.00938062,0.00938062,0.00938062
33,1219.89,1.81107,1.60713,1.57331,0.62195,0.37104,0.36683,0.19406,1.83069,1.59575,1.60898,0.00936064,0.00936064,0.00936064
34,1256.67,1.82049,1.61652,1.56987,0.69616,0.36444,0.37784,0.19235,1.82736,1.60751,1.6235,0.00934066,0.00934066,0.00934066
35,1294.12,1.81878,1.59826,1.58179,0.46369,0.34476,0.33075,0.16846,1.85234,1.59292,1.63437,0.00932068,0.00932068,0.00932068
36,1331.97,1.81389,1.58999,1.55884,0.55095,0.44603,0.34568,0.17213,1.87264,1.56944,1.64542,0.0093007,0.0093007,0.0093007
37,1370.08,1.82565,1.59279,1.57682,0.6182,0.37598,0.31059,0.14905,1.9515,1.61402,1.71154,0.00928072,0.00928072,0.00928072
38,1408.13,1.83513,1.5944,1.57206,0.65449,0.3613,0.33636,0.15785,1.87933,1.58592,1.6304,0.00926074,0.00926074,0.00926074
39,1446.18,1.82918,1.59285,1.56778,0.56476,0.47228,0.37378,0.19394,1.82894,1.55671,1.60279,0.00924076,0.00924076,0.00924076
40,1483.77,1.79391,1.57082,1.55744,0.62041,0.40495,0.32177,0.15171,1.90715,1.58046,1.67768,0.00922078,0.00922078,0.00922078
41,1521.44,1.80346,1.56563,1.55973,0.58603,0.44466,0.32925,0.16985,1.84958,1.614,1.64132,0.0092008,0.0092008,0.0092008
42,1557.78,1.80887,1.56835,1.56654,0.396,0.48052,0.36907,0.1935,1.80271,1.54888,1.59056,0.00918082,0.00918082,0.00918082
43,1594.12,1.80353,1.56869,1.55178,0.62965,0.39163,0.31419,0.15036,1.85971,1.65871,1.62727,0.00916084,0.00916084,0.00916084
44,1630.07,1.78456,1.54574,1.55703,0.48155,0.36049,0.3178,0.14825,1.87967,1.60012,1.64833,0.00914086,0.00914086,0.00914086
45,1666.03,1.79301,1.55192,1.55282,0.29083,0.37431,0.31901,0.1434,1.83031,1.58719,1.61579,0.00912088,0.00912088,0.00912088
46,1702.14,1.77742,1.54616,1.55497,0.63475,0.39841,0.37779,0.17538,1.80748,1.52728,1.61927,0.0091009,0.0091009,0.0091009
47,1737.93,1.7623,1.52095,1.53787,0.61913,0.44697,0.39506,0.21254,1.79395,1.56641,1.60023,0.00908092,0.00908092,0.00908092
48,1782.75,1.78279,1.53672,1.55642,0.57843,0.45098,0.37803,0.20568,1.82109,1.54781,1.61331,0.00906094,0.00906094,0.00906094
49,1826.06,1.77999,1.546,1.55695,0.51386,0.38808,0.37947,0.20021,1.82866,1.54559,1.6272,0.00904096,0.00904096,0.00904096
50,1863.08,1.77788,1.53581,1.5459,0.51228,0.44808,0.38588,0.21262,1.76346,1.53166,1.57891,0.00902098,0.00902098,0.00902098
51,1898.26,1.77138,1.53741,1.54594,0.47709,0.40554,0.3475,0.16615,1.80293,1.55079,1.60711,0.009001,0.009001,0.009001
52,1933.54,1.78005,1.53334,1.54352,0.64813,0.4491,0.40859,0.19204,1.86513,1.55586,1.63957,0.00898102,0.00898102,0.00898102
53,1969.35,1.76262,1.51956,1.54741,0.5755,0.43188,0.38459,0.18703,1.86006,1.63155,1.61519,0.00896104,0.00896104,0.00896104
54,2005.9,1.74712,1.50934,1.5349,0.58083,0.44475,0.38152,0.2068,1.78013,1.54977,1.58872,0.00894106,0.00894106,0.00894106
55,2042.32,1.74855,1.49767,1.52861,0.58615,0.4725,0.37582,0.20271,1.82158,1.52365,1.62372,0.00892108,0.00892108,0.00892108
56,2078.52,1.75663,1.51118,1.54963,0.4677,0.50234,0.3541,0.17835,1.79571,1.52472,1.59133,0.0089011,0.0089011,0.0089011
57,2114.95,1.76904,1.51541,1.53592,0.63483,0.43134,0.38659,0.2042,1.81079,1.53707,1.61041,0.00888112,0.00888112,0.00888112
58,2150.72,1.75494,1.49782,1.53001,0.50494,0.48208,0.37679,0.20036,1.75958,1.53219,1.57651,0.00886114,0.00886114,0.00886114
59,2187.38,1.76537,1.50764,1.52904,0.6045,0.43638,0.41956,0.21753,1.79099,1.59124,1.59077,0.00884116,0.00884116,0.00884116
60,2224.03,1.73862,1.4955,1.52186,0.45092,0.54718,0.3678,0.18434,1.79519,1.53076,1.59358,0.00882118,0.00882118,0.00882118
61,2262.57,1.7438,1.48542,1.5208,0.46372,0.44535,0.34877,0.17096,1.87948,1.51864,1.64642,0.0088012,0.0088012,0.0088012
62,2297.94,1.74133,1.49379,1.53209,0.55172,0.47414,0.38077,0.21227,1.80198,1.51788,1.60083,0.00878122,0.00878122,0.00878122
63,2334.39,1.73327,1.48041,1.52114,0.60983,0.40924,0.34155,0.17726,1.89479,1.58226,1.67761,0.00876124,0.00876124,0.00876124
64,2370.61,1.72431,1.46919,1.5085,0.46727,0.50239,0.35605,0.18114,1.76815,1.48287,1.58995,0.00874126,0.00874126,0.00874126
65,2406.96,1.7475,1.49227,1.52611,0.57821,0.42569,0.38392,0.20249,1.82968,1.5021,1.6221,0.00872128,0.00872128,0.00872128
66,2442.56,1.73602,1.46366,1.52363,0.57398,0.54128,0.39713,0.21728,1.80963,1.47971,1.60691,0.0087013,0.0087013,0.0087013
67,2479.7,1.72386,1.47334,1.52363,0.57217,0.48179,0.39101,0.2168,1.79677,1.49964,1.58269,0.00868132,0.00868132,0.00868132
68,2515.63,1.72332,1.47241,1.52211,0.53288,0.46391,0.3566,0.18177,1.81388,1.486,1.59313,0.00866134,0.00866134,0.00866134
69,2552.01,1.71761,1.46095,1.5157,0.582,0.48,0.38842,0.21618,1.77674,1.48809,1.5945,0.00864136,0.00864136,0.00864136
70,2588.55,1.701,1.45661,1.49732,0.61711,0.43706,0.3916,0.21393,1.76942,1.45172,1.58232,0.00862138,0.00862138,0.00862138
71,2625.37,1.71825,1.44954,1.51251,0.50549,0.55114,0.38032,0.20401,1.8543,1.54092,1.63802,0.0086014,0.0086014,0.0086014
72,2663.4,1.73432,1.46564,1.51546,0.48073,0.43232,0.36009,0.17291,1.79864,1.48574,1.61869,0.00858142,0.00858142,0.00858142
73,2700.27,1.70957,1.45166,1.50859,0.6706,0.43299,0.41588,0.19725,1.82201,1.43219,1.60792,0.00856144,0.00856144,0.00856144
74,2736.64,1.70471,1.44271,1.51995,0.63042,0.46679,0.40429,0.21202,1.80433,1.43651,1.59649,0.00854146,0.00854146,0.00854146
75,2773.72,1.70764,1.44749,1.51236,0.56957,0.44285,0.40741,0.21075,1.74803,1.49064,1.57106,0.00852148,0.00852148,0.00852148
76,2810.81,1.70527,1.45077,1.51709,0.6464,0.3879,0.36359,0.19229,nan,nan,nan,0.0085015,0.0085015,0.0085015
77,2848.19,1.70141,1.4285,1.49729,0.56825,0.56356,0.40218,0.21653,1.767,1.45182,1.57325,0.00848152,0.00848152,0.00848152
78,2885.72,1.69058,1.4292,1.4914,0.60938,0.44741,0.40519,0.2125,1.79864,1.49768,1.59951,0.00846154,0.00846154,0.00846154
79,2922.57,1.70522,1.42879,1.50617,0.52091,0.52182,0.41017,0.22228,1.78906,1.49988,1.57106,0.00844156,0.00844156,0.00844156
80,2960.12,1.67986,1.41144,1.48958,0.57047,0.45622,0.37271,0.1863,1.78394,1.44633,1.5828,0.00842158,0.00842158,0.00842158
81,2997.48,1.68718,1.41476,1.48904,0.64461,0.47568,0.40809,0.22728,1.76935,1.47056,1.58448,0.0084016,0.0084016,0.0084016
82,3035.17,1.68081,1.42397,1.48801,0.63936,0.44968,0.41082,0.23473,1.74108,1.4264,1.56503,0.00838162,0.00838162,0.00838162
83,3072.49,1.67496,1.41503,1.48599,0.64193,0.4729,0.39987,0.20955,1.77314,1.43694,1.57236,0.00836164,0.00836164,0.00836164
84,3108.66,1.68301,1.42108,1.49411,0.41202,0.47377,0.41288,0.22214,1.75078,1.46927,1.55873,0.00834166,0.00834166,0.00834166
85,3145,1.68211,1.41919,1.48376,0.67245,0.39536,0.3929,0.21166,1.76006,1.48574,1.58254,0.00832168,0.00832168,0.00832168
86,3181.7,1.69065,1.41618,1.49484,0.43591,0.52143,0.41197,0.21762,1.75406,1.41244,1.57647,0.0083017,0.0083017,0.0083017
87,3218.42,1.68516,1.40812,1.4867,0.60884,0.45137,0.39585,0.22297,1.76202,1.4293,1.57199,0.00828172,0.00828172,0.00828172
88,3254.06,1.68016,1.41536,1.48578,0.57088,0.51838,0.40054,0.21583,1.75983,1.42611,1.57551,0.00826174,0.00826174,0.00826174
89,3290.11,1.68667,1.41623,1.49879,0.56638,0.48289,0.41121,0.21654,1.73542,1.42991,1.56343,0.00824176,0.00824176,0.00824176
90,3325.67,1.67348,1.41082,1.49364,0.55201,0.48708,0.40604,0.22186,1.771,1.44331,1.57787,0.00822178,0.00822178,0.00822178
91,3361.39,1.67887,1.40855,1.48772,0.55642,0.45284,0.35695,0.16647,1.89186,1.48353,1.65113,0.0082018,0.0082018,0.0082018
92,3396.98,1.68279,1.42329,1.49434,0.56748,0.45977,0.38328,0.19258,1.76342,1.44052,1.56801,0.00818182,0.00818182,0.00818182
93,3432.69,1.66549,1.37887,1.47369,0.58471,0.4698,0.3872,0.19796,1.74238,1.41756,1.55219,0.00816184,0.00816184,0.00816184
94,3468.35,1.66609,1.38519,1.47154,0.53835,0.46513,0.41913,0.21418,1.76996,1.40688,1.56871,0.00814186,0.00814186,0.00814186
95,3504.02,1.65994,1.38897,1.47509,0.52923,0.50101,0.37421,0.19142,1.75573,1.4441,1.56964,0.00812188,0.00812188,0.00812188
96,3539.47,1.65169,1.3708,1.47109,0.60887,0.44013,0.41571,0.22202,1.7332,1.40545,1.54635,0.0081019,0.0081019,0.0081019
97,3575.39,1.67374,1.41123,1.48756,0.54499,0.46746,0.3801,0.19266,1.75039,1.4293,1.57309,0.00808192,0.00808192,0.00808192
98,3611.31,1.66147,1.38548,1.46756,0.64822,0.48085,0.42595,0.22569,1.75549,1.41365,1.56889,0.00806194,0.00806194,0.00806194
99,3647.97,1.65355,1.38582,1.47932,0.59048,0.45636,0.41696,0.22282,1.79043,1.4133,1.58389,0.00804196,0.00804196,0.00804196
