epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,201.313,3.5858,3.97407,3.40874,0.44197,0.04061,0.00793,0.00224,2.97002,3.76586,2.99201,0.0701235,0.00331962,0.00331962
2,370.771,2.87771,3.24828,2.6658,0.38945,0.09385,0.04814,0.01425,2.6558,3.02605,2.62958,0.0401035,0.00663299,0.00663299
3,637.505,2.41988,2.82713,2.3008,0.36459,0.26083,0.17299,0.06097,2.34672,3.04034,2.42006,0.0100635,0.00992636,0.00992636
4,806.556,2.16006,2.5176,2.06954,0.27103,0.37933,0.22609,0.08836,2.09099,2.53114,2.22341,0.00991,0.00991,0.00991
5,975.045,2.01236,2.33231,1.94775,0.32029,0.4446,0.28148,0.12341,1.92604,2.26216,2.04544,0.00988,0.00988,0.00988
6,1148.17,1.9242,2.18899,1.86955,0.29846,0.47559,0.2904,0.12168,1.87513,2.17807,2.00833,0.00985,0.00985,0.00985
7,1315.45,1.87152,2.11465,1.81895,0.32081,0.46177,0.27741,0.11459,1.91526,2.10876,1.99912,0.00982,0.00982,0.00982
8,1482.34,1.82496,2.04954,1.7883,0.34248,0.51064,0.32006,0.14775,1.8267,2.20814,1.94708,0.00979,0.00979,0.00979
9,1651.96,1.78576,1.98984,1.75268,0.44991,0.46455,0.32535,0.15445,1.77652,1.99038,1.90037,0.00976,0.00976,0.00976
10,1819.98,1.75648,1.94038,1.72318,0.367,0.49619,0.37116,0.16988,1.72763,2.01801,1.86053,0.00973,0.00973,0.00973
11,1986.68,1.73559,1.92354,1.71006,0.37038,0.51736,0.34184,0.1574,1.82359,2.01778,1.89981,0.0097,0.0097,0.0097
12,2154.76,1.70673,1.86978,1.6847,0.44713,0.50931,0.3443,0.15505,1.83892,1.94516,1.92593,0.00967,0.00967,0.00967
13,2329.03,1.68268,1.83256,1.66787,0.36953,0.54887,0.37994,0.18979,1.68161,1.88947,1.78826,0.00964,0.00964,0.00964
14,2493.96,1.67523,1.82398,1.66296,0.36436,0.53176,0.36894,0.16765,1.72889,1.86972,1.81895,0.00961,0.00961,0.00961
15,2673.06,1.63949,1.78167,1.63918,0.48916,0.50358,0.3862,0.19499,1.62308,1.82664,1.74747,0.00958,0.00958,0.00958
16,2840.63,1.63973,1.76279,1.62806,0.49794,0.49235,0.38471,0.19151,1.62112,1.82783,1.7504,0.00955,0.00955,0.00955
17,3012.97,1.61862,1.74766,1.61918,0.46916,0.54962,0.39527,0.19593,1.61753,1.78165,1.73442,0.00952,0.00952,0.00952
18,3178.94,1.61273,1.73111,1.60956,0.48974,0.51195,0.39334,0.20465,1.55403,1.73982,1.68616,0.00949,0.00949,0.00949
19,3361.98,1.60401,1.72796,1.60325,0.38928,0.57135,0.40341,0.20414,1.60548,1.73801,1.7109,0.00946,0.00946,0.00946
20,3527.96,1.57699,1.6838,1.58079,0.37791,0.50792,0.40967,0.20806,1.54282,1.75646,1.69151,0.00943,0.00943,0.00943
21,3699.32,1.57841,1.6866,1.58461,0.50667,0.53605,0.42575,0.22614,1.54597,1.70782,1.67265,0.0094,0.0094,0.0094
22,3866.66,1.56862,1.67115,1.57219,0.37781,0.55532,0.40884,0.21413,1.51595,1.70928,1.6502,0.00937,0.00937,0.00937
23,4035.32,1.56158,1.65095,1.56499,0.37767,0.55968,0.41157,0.21557,1.50755,1.72516,1.64017,0.00934,0.00934,0.00934
24,4205.45,1.55738,1.65574,1.56491,0.38296,0.55783,0.43087,0.22175,1.52352,1.6786,1.64898,0.00931,0.00931,0.00931
25,4379.01,1.54509,1.62884,1.54478,0.3917,0.55359,0.41721,0.22114,1.51269,1.65441,1.63801,0.00928,0.00928,0.00928
26,4547.89,1.53026,1.61657,1.54276,0.37476,0.56627,0.43199,0.23086,1.48112,1.67751,1.61382,0.00925,0.00925,0.00925
