epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.19,3.23488,3.28961,2.70345,0.18845,0.03673,0.10468,0.03996,2.84419,3.03528,2.42809,0.00330864,0.00330864,0.00330864
2,179.553,2.3277,2.17625,1.74029,0.26106,0.12554,0.18486,0.08987,2.53381,2.68381,1.76745,0.00664161,0.00664161,0.00664161
3,279.995,2.16193,1.9216,1.62117,0.37458,0.25109,0.2407,0.10926,2.18842,2.39143,1.61133,0.00997309,0.00997309,0.00997309
4,488.675,2.09646,1.82417,1.57394,0.3732,0.33878,0.34384,0.15955,2.07592,1.7112,1.53607,0.009995,0.009995,0.009995
5,588.554,2.03526,1.75084,1.54423,0.407,0.32467,0.3507,0.14936,2.12875,1.8079,1.62527,0.00999112,0.00999112,0.00999112
6,687.711,1.98761,1.66633,1.51899,0.29844,0.28336,0.25908,0.10742,2.36878,2.14298,1.65925,0.00998613,0.00998613,0.00998613
7,788.57,1.95607,1.62607,1.49512,0.401,0.39233,0.38834,0.19144,1.94227,1.55814,1.49688,0.00998003,0.00998003,0.00998003
8,887.213,1.92323,1.57147,1.46915,0.2669,0.29104,0.23999,0.09446,2.42326,2.01922,1.66573,0.00997282,0.00997282,0.00997282
9,986.085,1.89208,1.52937,1.45564,0.44647,0.45313,0.45334,0.23491,1.81594,1.43689,1.41251,0.00996452,0.00996452,0.00996452
10,1084.07,1.86648,1.49813,1.43762,0.31168,0.28583,0.26769,0.11291,2.2474,2.05028,1.63025,0.00995511,0.00995511,0.00995511
11,1185.61,1.85021,1.4771,1.42233,0.45643,0.39409,0.41083,0.19096,1.97692,1.53365,1.43685,0.0099446,0.0099446,0.0099446
12,1283.52,1.83937,1.45114,1.41707,0.46822,0.39384,0.43376,0.22966,1.7981,1.44766,1.36925,0.00993299,0.00993299,0.00993299
13,1384.13,1.82505,1.44552,1.40916,0.4598,0.36833,0.41304,0.19062,2.13269,1.49741,1.53309,0.00992029,0.00992029,0.00992029
14,1483.71,1.81307,1.41857,1.40238,0.4551,0.36498,0.40272,0.20099,2.04553,1.48573,1.47785,0.0099065,0.0099065,0.0099065
15,1658.22,1.78878,1.38015,1.38105,0.60048,0.41481,0.50824,0.27172,1.79275,1.35436,1.36214,0.00989163,0.00989163,0.00989163
16,1759.92,1.78677,1.37731,1.38181,0.53411,0.43693,0.48631,0.25942,nan,nan,nan,0.00987566,0.00987566,0.00987566
17,1861.64,1.76813,1.3501,1.36931,0.50883,0.46162,0.49871,0.25802,1.82709,1.31321,1.3714,0.00985862,0.00985862,0.00985862
18,1962.2,1.76291,1.36698,1.37164,0.50907,0.41109,0.45851,0.22661,1.9054,1.4914,1.42423,0.00984051,0.00984051,0.00984051
19,2063.25,1.744,1.32669,1.35545,0.52426,0.4735,0.51757,0.2644,1.79818,1.31279,1.36718,0.00982132,0.00982132,0.00982132
20,2162.77,1.7439,1.32502,1.36005,0.55772,0.48601,0.5351,0.30013,1.66621,1.22051,1.30822,0.00980107,0.00980107,0.00980107
21,2264.34,1.73738,1.31502,1.34876,0.46038,0.42048,0.4448,0.19387,2.11063,1.47547,1.49131,0.00977975,0.00977975,0.00977975
22,2381.13,1.71732,1.29485,1.33993,0.5552,0.5265,0.55293,0.30641,1.65966,1.17852,1.30055,0.00975738,0.00975738,0.00975738
23,2508.61,1.7289,1.29055,1.33897,0.40482,0.29456,0.34484,0.12949,2.56053,1.6632,1.74087,0.00973396,0.00973396,0.00973396
24,2641.42,1.71477,1.28182,1.33582,0.51236,0.44579,0.48556,0.22361,1.96952,1.3669,1.4146,0.0097095,0.0097095,0.0097095
25,2774.69,1.70979,1.27571,1.33161,0.53845,0.53137,0.55358,0.2935,1.76407,1.21826,1.32469,0.00968399,0.00968399,0.00968399
26,2943.31,1.70746,1.267,1.32858,0.57346,0.52046,0.56012,0.30997,1.7041,1.18306,1.31399,0.00965746,0.00965746,0.00965746
27,3127.24,1.69308,1.24893,1.32455,0.53135,0.48259,0.52246,0.27091,1.81194,1.28227,1.35005,0.0096299,0.0096299,0.0096299
28,3253.64,1.69781,1.2472,1.31968,0.5733,0.54736,0.5727,0.32312,1.63603,1.26163,1.28754,0.00960131,0.00960131,0.00960131
29,3365.21,1.69173,1.24195,1.32139,0.53323,0.50091,0.53407,0.26691,1.82905,1.23163,1.34953,0.00957172,0.00957172,0.00957172
30,3464.17,1.69091,1.24053,1.31764,0.56582,0.50814,0.55084,0.26896,1.9001,1.24578,1.3839,0.00954112,0.00954112,0.00954112
31,3566.21,1.6674,1.22675,1.3108,0.60715,0.52743,0.58002,0.32148,1.68169,1.12828,1.29304,0.00950953,0.00950953,0.00950953
32,3667.84,1.65966,1.20953,1.30236,0.54991,0.45608,0.50749,0.28789,1.7805,1.35585,1.3222,0.00947695,0.00947695,0.00947695
33,3768.58,1.66824,1.21401,1.30229,0.5728,0.52722,0.56107,0.28246,1.87663,1.18127,1.36871,0.00944338,0.00944338,0.00944338
34,3866.89,1.66116,1.20626,1.30023,0.56497,0.56193,0.58604,0.30791,1.76215,1.15102,1.31566,0.00940884,0.00940884,0.00940884
35,3972.21,1.66215,1.2017,1.29853,0.54497,0.52788,0.55137,0.25824,2.00061,1.19309,1.40987,0.00937334,0.00937334,0.00937334
36,4071.56,1.6684,1.20021,1.29981,0.55803,0.52794,0.5543,0.26861,1.92441,1.18615,1.37704,0.00933688,0.00933688,0.00933688
37,4170.28,1.65218,1.18911,1.29345,0.55046,0.55934,0.5782,0.29965,1.78175,1.14375,1.32267,0.00929948,0.00929948,0.00929948
38,4330.27,1.64281,1.17245,1.28526,0.56495,0.53624,0.57027,0.29997,1.75386,1.12497,1.30973,0.00926113,0.00926113,0.00926113
