epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,96.6844,3.12656,3.16085,2.53959,0.11371,0.06319,0.07239,0.03119,2.92025,4.35227,2.61753,0.00595556,0.00595556,0.00595556
2,197.046,2.32902,2.21278,1.71402,0.04785,0.00428,0.02491,0.0082,nan,nan,nan,0.0119549,0.0119549,0.0119549
3,297.424,2.17026,1.94314,1.6226,0.34324,0.23603,0.26423,0.11912,2.2562,2.02613,1.66081,0.0179516,0.0179516,0.0179516
4,396.312,2.09618,1.83353,1.58715,0.14427,0.092,0.08986,0.03805,nan,nan,nan,0.0239436,0.0239436,0.0239436
5,496.323,2.05003,1.77223,1.56516,0.59266,0.24436,0.34514,0.16702,2.04927,2.28769,1.60741,0.029929,0.029929,0.029929
6,594.57,2.0428,1.74581,1.56415,0.19819,0.14825,0.13001,0.04092,2.83991,3.23651,1.99612,0.0299584,0.0299584,0.0299584
7,691.895,2.01963,1.703,1.55334,0.20851,0.15569,0.15789,0.05967,2.90714,2.42907,2.16732,0.0299401,0.0299401,0.0299401
8,790.414,1.94916,1.60914,1.50266,0.48162,0.36416,0.42251,0.21299,1.92089,1.52314,1.48228,0.0299185,0.0299185,0.0299185
9,887.343,1.92023,1.56932,1.49005,0.4341,0.40963,0.42821,0.21483,1.92617,1.60742,1.50514,0.0298935,0.0298935,0.0298935
10,985.603,1.90456,1.54064,1.47894,0.49104,0.37016,0.42587,0.21292,1.90851,1.58523,1.46382,0.0298653,0.0298653,0.0298653
11,1082.15,1.87951,1.51152,1.46115,0.47232,0.46434,0.48477,0.25792,1.76875,1.38129,1.41302,0.0298338,0.0298338,0.0298338
12,1179.83,1.87871,1.49356,1.45966,0.39392,0.28464,0.33216,0.1396,2.42163,1.68635,1.72157,0.029799,0.029799,0.029799
13,1277.85,1.86161,1.49038,1.45322,0.4896,0.4346,0.47184,0.24296,1.80815,1.51503,1.43097,0.0297609,0.0297609,0.0297609
14,1374.51,1.85139,1.46679,1.44731,0.51972,0.29229,0.40706,0.20944,1.97313,1.49973,1.47816,0.0297195,0.0297195,0.0297195
15,1510.94,1.84451,1.44389,1.43588,0.44469,0.41186,0.42806,0.20817,1.90997,1.50753,1.44911,0.0296749,0.0296749,0.0296749
16,1683.05,1.83167,1.43023,1.42781,0.54911,0.29942,0.42177,0.17326,2.14879,1.62975,1.53503,0.029627,0.029627,0.029627
