epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.9058,4.77436,4.84052,4.23903,0,0,0,0,5.23942,4.66774,4.15091,0.00330864,0.00330864,0.00330864
2,151.097,3.82122,4.00254,3.36696,0.04724,0.10419,0.03537,0.01092,2.93655,4.91773,2.36636,0.00664157,0.00664157,0.00664157
3,230.533,2.64568,2.58338,2.11889,0.22243,0.14962,0.17535,0.07225,2.36594,2.3952,1.90776,0.00997287,0.00997287,0.00997287
4,308.737,2.25807,2.05651,1.78739,0.27577,0.29468,0.24884,0.11472,2.18685,2.2814,1.72116,0.0099945,0.0099945,0.0099945
5,386.638,2.07112,1.7838,1.65297,0.42805,0.37777,0.40666,0.19795,1.93501,1.63899,1.55192,0.00999023,0.00999023,0.00999023
6,464.547,1.98192,1.644,1.58704,0.4852,0.3962,0.43941,0.2293,1.85463,1.44066,1.49998,0.00998474,0.00998474,0.00998474
7,543.011,1.90535,1.53924,1.53292,0.46645,0.47099,0.47604,0.25379,1.74491,1.33563,1.43724,0.00997803,0.00997803,0.00997803
8,620.406,1.85593,1.46732,1.49369,0.53908,0.46007,0.50307,0.2773,1.71165,1.30586,1.41493,0.00997011,0.00997011,0.00997011
9,699.372,1.81148,1.41079,1.47201,0.53215,0.51644,0.52984,0.29133,1.69011,1.20906,1.3939,0.00996097,0.00996097,0.00996097
10,777.426,1.77161,1.36129,1.44433,0.52949,0.47432,0.50704,0.25592,1.86341,1.30069,1.47672,0.00995062,0.00995062,0.00995062
11,856.476,1.74527,1.32774,1.42425,0.54343,0.53194,0.5496,0.31185,1.65772,1.17009,1.37131,0.00993906,0.00993906,0.00993906
12,934.464,1.72162,1.29155,1.41258,0.57919,0.54556,0.56631,0.32943,1.59867,1.11419,1.34404,0.00992629,0.00992629,0.00992629
13,1013.54,1.69448,1.26206,1.39748,0.58841,0.48861,0.54137,0.27762,1.82949,1.21146,1.44627,0.00991232,0.00991232,0.00991232
14,1090.4,1.68043,1.2413,1.38864,0.54665,0.552,0.54858,0.30312,1.70862,1.15357,1.37955,0.00989715,0.00989715,0.00989715
15,1169.22,1.65388,1.2043,1.37058,0.60151,0.54432,0.57948,0.34081,1.59992,1.09464,1.33184,0.00988079,0.00988079,0.00988079
16,1248.95,1.64345,1.1857,1.36198,0.57163,0.53921,0.57174,0.29348,1.86209,1.17309,1.46606,0.00986323,0.00986323,0.00986323
17,1326.84,1.62293,1.16272,1.35296,0.57053,0.55306,0.57816,0.30277,1.81087,1.13848,1.42467,0.00984449,0.00984449,0.00984449
18,1404.54,1.61246,1.15841,1.35033,0.55414,0.54328,0.55845,0.2893,1.85299,1.18444,1.45214,0.00982456,0.00982456,0.00982456
19,1483.66,1.59705,1.12977,1.33566,0.59328,0.60989,0.61836,0.35573,1.56762,1.02405,1.31052,0.00980345,0.00980345,0.00980345
20,1564.4,1.58097,1.11865,1.3354,0.61754,0.58522,0.61703,0.36026,1.57602,1.036,1.31631,0.00978118,0.00978118,0.00978118
21,1645.15,1.57609,1.10716,1.32594,0.62022,0.56738,0.60708,0.34306,1.64178,1.05978,1.34017,0.00975773,0.00975773,0.00975773
22,1722.68,1.56267,1.08947,1.32077,0.6126,0.60038,0.62283,0.35651,1.60094,1.01365,1.32456,0.00973312,0.00973312,0.00973312
23,1800.23,1.55834,1.07962,1.31079,0.6003,0.59427,0.60756,0.31668,1.80266,1.06237,1.41783,0.00970736,0.00970736,0.00970736
24,1877.97,1.54739,1.07332,1.31042,0.61224,0.61081,0.62848,0.33682,1.74947,1.03422,1.38759,0.00968045,0.00968045,0.00968045
25,1956.3,1.53893,1.05909,1.30621,0.6175,0.62315,0.64185,0.39065,1.4789,0.95523,1.26317,0.00965239,0.00965239,0.00965239
26,2036.62,1.52526,1.04742,1.29701,0.64249,0.60278,0.63514,0.36252,1.63217,0.97682,1.33065,0.0096232,0.0096232,0.0096232
27,2116.87,1.51607,1.03463,1.2932,0.62153,0.64102,0.65501,0.40521,1.44785,0.92838,1.25188,0.00959289,0.00959289,0.00959289
28,2197.84,1.51076,1.02133,1.2871,0.6273,0.63322,0.65131,0.38629,1.54314,0.93595,1.28654,0.00956145,0.00956145,0.00956145
29,2278.21,1.50026,1.01384,1.28521,0.64137,0.64663,0.66403,0.4094,1.45914,0.90273,1.25043,0.00952889,0.00952889,0.00952889
30,2356.92,1.49813,1.0078,1.28,0.63236,0.62708,0.64776,0.37796,1.58209,0.94074,1.30541,0.00949524,0.00949524,0.00949524
31,2435.96,1.4859,0.99957,1.28079,0.62902,0.63127,0.65019,0.3696,1.63084,0.95024,1.3267,0.00946048,0.00946048,0.00946048
32,2515.8,1.48249,0.99145,1.27509,0.62052,0.61557,0.63552,0.33195,1.80654,0.99537,1.41244,0.00942464,0.00942464,0.00942464
33,2595.63,1.48053,0.98013,1.27078,0.66338,0.64526,0.67362,0.42152,1.45531,0.88024,1.24358,0.00938772,0.00938772,0.00938772
34,2675.64,1.47211,0.97448,1.26909,0.6462,0.6457,0.66737,0.40801,1.48077,0.89779,1.2591,0.00934973,0.00934973,0.00934973
35,2754.9,1.45605,0.96113,1.25565,0.64387,0.66152,0.67582,0.41614,1.4612,0.8795,1.24771,0.00931067,0.00931067,0.00931067
36,2832.23,1.45811,0.96427,1.25927,0.65035,0.65806,0.67825,0.42333,1.44066,0.86848,1.23772,0.00927057,0.00927057,0.00927057
37,2911.32,1.44543,0.94927,1.25355,0.68202,0.67197,0.70552,0.43507,1.43493,0.857,1.24133,0.00922942,0.00922942,0.00922942
38,2991.37,1.44681,0.94232,1.25113,0.69759,0.71132,0.7291,0.463,1.37157,0.83158,1.2101,0.00918725,0.00918725,0.00918725
39,3069.73,1.43602,0.93856,1.25098,0.64623,0.65827,0.6773,0.38599,1.63472,0.90524,1.3288,0.00914405,0.00914405,0.00914405
40,3147.33,1.43164,0.94072,1.249,0.74938,0.67893,0.72849,0.44198,1.42057,0.85582,1.23339,0.00909984,0.00909984,0.00909984
41,3227.4,1.42506,0.92499,1.24198,0.70635,0.68396,0.72099,0.42334,1.56633,0.88127,1.29396,0.00905463,0.00905463,0.00905463
42,3308.74,1.43757,0.93405,1.25106,0.76397,0.68914,0.7549,0.49431,1.35072,0.81979,1.20154,0.00900844,0.00900844,0.00900844
43,3391.31,1.42786,0.92354,1.24334,0.72226,0.71225,0.74886,0.44696,1.4566,0.83679,1.24139,0.00896127,0.00896127,0.00896127
44,3470.28,1.4203,0.91855,1.23699,0.73669,0.6739,0.73232,0.43006,1.54856,0.86868,1.28994,0.00891313,0.00891313,0.00891313
45,3549.91,1.40584,0.90417,1.22921,0.72279,0.68208,0.73039,0.45511,1.42577,0.82186,1.22805,0.00886404,0.00886404,0.00886404
46,3628.47,1.40556,0.90463,1.2311,0.73425,0.69549,0.74193,0.43307,1.54406,0.85505,1.2817,0.00881401,0.00881401,0.00881401
47,3707.14,1.40571,0.90156,1.23331,0.72103,0.73105,0.75427,0.45691,1.4364,0.81835,1.23092,0.00876305,0.00876305,0.00876305
48,3785.61,1.39931,0.89735,1.23105,0.75428,0.72102,0.76568,0.47687,1.40078,0.80854,1.22033,0.00871117,0.00871117,0.00871117
49,3864.21,1.3965,0.89008,1.22641,0.76009,0.71761,0.76713,0.48539,1.40448,0.80668,1.21625,0.00865839,0.00865839,0.00865839
50,3942.56,1.39217,0.89211,1.22976,0.75769,0.71202,0.76231,0.47942,1.42694,0.81391,1.22767,0.00860473,0.00860473,0.00860473
51,4021.17,1.3775,0.87392,1.21352,0.72449,0.68968,0.72923,0.42419,1.54831,0.83934,1.27473,0.00855018,0.00855018,0.00855018
52,4099.42,1.37731,0.87585,1.21791,0.75842,0.71635,0.76198,0.48748,1.35283,0.78772,1.19647,0.00849477,0.00849477,0.00849477
53,4176.24,1.3738,0.86669,1.21322,0.73949,0.7265,0.76298,0.46168,1.48119,0.80849,1.24899,0.00843851,0.00843851,0.00843851
54,4253.44,1.36861,0.86566,1.2135,0.72863,0.7465,0.76433,0.48893,1.37412,0.78416,1.20362,0.00838141,0.00838141,0.00838141
55,4332.04,1.36309,0.85867,1.20959,0.76793,0.73687,0.79031,0.49553,1.43274,0.79188,1.22966,0.00832349,0.00832349,0.00832349
56,4412.56,1.36168,0.85949,1.20899,0.77784,0.72659,0.7776,0.48576,1.4417,0.79272,1.22629,0.00826477,0.00826477,0.00826477
57,4492.48,1.3615,0.85701,1.20782,0.70507,0.74911,0.75853,0.43675,1.5955,0.822,1.29754,0.00820525,0.00820525,0.00820525
58,4571.63,1.3494,0.84413,1.20093,0.78145,0.7193,0.7816,0.47918,1.46964,0.7867,1.23839,0.00814495,0.00814495,0.00814495
59,4650.66,1.35175,0.8477,1.203,0.75601,0.76822,0.80005,0.50798,1.36633,0.76267,1.19766,0.00808389,0.00808389,0.00808389
60,4728.26,1.34571,0.84381,1.19886,0.74326,0.77748,0.79223,0.51683,1.3314,0.75409,1.18051,0.00802208,0.00802208,0.00802208
61,4807.25,1.33851,0.83632,1.19554,0.75228,0.77041,0.79884,0.48354,1.46412,0.78013,1.23765,0.00795954,0.00795954,0.00795954
62,4886.9,1.34514,0.83905,1.19997,0.78296,0.72728,0.78462,0.454,1.56219,0.8054,1.28013,0.00789628,0.00789628,0.00789628
63,4967.01,1.33696,0.83266,1.19251,0.75844,0.75148,0.78585,0.50467,1.38378,0.75495,1.20032,0.00783231,0.00783231,0.00783231
64,5046.97,1.33623,0.83384,1.19619,0.72655,0.7677,0.78519,0.46692,1.52605,0.79272,1.26486,0.00776766,0.00776766,0.00776766
65,5126.45,1.3278,0.82198,1.18941,0.77967,0.75026,0.80482,0.49394,1.43049,0.75593,1.21974,0.00770234,0.00770234,0.00770234
66,5204.61,1.31699,0.81787,1.18349,0.79495,0.75452,0.80382,0.51277,1.39154,0.74486,1.20145,0.00763637,0.00763637,0.00763637
67,5283.58,1.31493,0.81332,1.18163,0.73686,0.78974,0.80637,0.49587,1.44826,0.75971,1.227,0.00756976,0.00756976,0.00756976
68,5361.74,1.31065,0.81077,1.18344,0.76649,0.7801,0.80893,0.51037,1.41043,0.7472,1.21008,0.00750252,0.00750252,0.00750252
69,5441.56,1.30722,0.80649,1.17799,0.77277,0.75245,0.79959,0.4458,1.67734,0.81309,1.32816,0.00743468,0.00743468,0.00743468
70,5520.99,1.30921,0.80405,1.18006,0.79302,0.76509,0.81483,0.51403,1.42221,0.74356,1.21105,0.00736625,0.00736625,0.00736625
71,5600.36,1.30531,0.80605,1.17748,0.75877,0.79527,0.81897,0.53543,1.33716,0.72132,1.17379,0.00729725,0.00729725,0.00729725
72,5677.05,1.29659,0.79632,1.17429,0.8088,0.76351,0.82294,0.53555,1.35697,0.71386,1.18419,0.0072277,0.0072277,0.0072277
73,5755.95,1.29101,0.79431,1.16763,0.75323,0.81965,0.82776,0.53473,1.36065,0.72279,1.189,0.00715761,0.00715761,0.00715761
74,5834.55,1.29158,0.79775,1.17364,0.75004,0.79251,0.8115,0.51298,1.4307,0.73812,1.21608,0.007087,0.007087,0.007087
75,5913.32,1.28607,0.78855,1.1686,0.79274,0.78001,0.82235,0.52354,1.40998,0.73176,1.21049,0.00701588,0.00701588,0.00701588
76,5990.63,1.27536,0.77744,1.16163,0.77697,0.76745,0.81246,0.50241,1.48548,0.74718,1.23862,0.00694428,0.00694428,0.00694428
77,6068.68,1.27558,0.78076,1.16068,0.80201,0.80027,0.83936,0.5455,1.34333,0.70325,1.17615,0.00687222,0.00687222,0.00687222
78,6148.3,1.27602,0.78212,1.16283,0.80244,0.78764,0.83634,0.54931,1.33559,0.70818,1.176,0.0067997,0.0067997,0.0067997
79,6228.06,1.26272,0.76712,1.15659,0.81194,0.77412,0.83003,0.5241,1.44099,0.72399,1.22152,0.00672675,0.00672675,0.00672675
80,6307.36,1.26344,0.76919,1.1563,0.76117,0.79021,0.81644,0.51212,1.41524,0.71683,1.21012,0.00665339,0.00665339,0.00665339
81,6385.65,1.26381,0.76771,1.15595,0.80549,0.8072,0.84802,0.56386,1.29924,0.68499,1.15678,0.00657963,0.00657963,0.00657963
82,6464.62,1.26105,0.76442,1.15533,0.80976,0.7657,0.82416,0.51815,1.42192,0.71359,1.20902,0.0065055,0.0065055,0.0065055
83,6543.05,1.2565,0.75969,1.14908,0.7861,0.7804,0.82137,0.51846,1.43064,0.71039,1.2125,0.00643101,0.00643101,0.00643101
84,6620.94,1.26619,0.76956,1.15509,0.76457,0.81339,0.8324,0.54823,1.35444,0.69465,1.18066,0.00635617,0.00635617,0.00635617
85,6698.98,1.25513,0.75816,1.14834,0.81401,0.77304,0.83864,0.53734,1.39929,0.70301,1.19919,0.00628101,0.00628101,0.00628101
86,6775.89,1.2353,0.74536,1.13921,0.80946,0.80088,0.84606,0.54469,1.40258,0.69869,1.19988,0.00620555,0.00620555,0.00620555
87,6854.21,1.23763,0.74653,1.14188,0.82017,0.76523,0.83463,0.51426,1.46997,0.72189,1.23185,0.00612981,0.00612981,0.00612981
88,6932.24,1.2394,0.74893,1.14463,0.82141,0.79463,0.84746,0.5593,1.34138,0.67922,1.17017,0.0060538,0.0060538,0.0060538
89,7010.68,1.23344,0.74636,1.14017,0.81204,0.80127,0.85327,0.5596,1.34566,0.67837,1.17338,0.00597754,0.00597754,0.00597754
90,7090.97,1.23693,0.74463,1.14113,0.82199,0.78525,0.84516,0.56119,1.32891,0.67771,1.16514,0.00590105,0.00590105,0.00590105
91,7170.84,1.22509,0.73258,1.13153,0.8287,0.80112,0.85398,0.55041,1.38521,0.67997,1.19133,0.00582435,0.00582435,0.00582435
92,7250.26,1.22681,0.73613,1.13529,0.84705,0.78625,0.85882,0.57026,1.3059,0.65775,1.15319,0.00574746,0.00574746,0.00574746
