epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.0207,3.53474,3.64643,3.1503,0.00354,0.04113,0.0054,0.00142,3.57022,3.86059,3.87375,0.00329897,0.00329897,0.00329897
2,137.36,2.81788,2.83405,2.32616,0.25988,0.13853,0.08288,0.02484,2.83167,2.64611,2.50299,0.00661905,0.00661905,0.00661905
3,195.742,2.55469,2.5737,2.14568,0.1608,0.18532,0.12112,0.04017,2.38229,3.10206,2.21267,0.00992581,0.00992581,0.00992581
4,254.152,2.43966,2.42944,2.07066,0.22234,0.21355,0.15233,0.05856,2.46444,2.37564,2.23048,0.00994006,0.00994006,0.00994006
5,312.303,2.32745,2.28159,1.979,0.15505,0.22716,0.16383,0.05933,2.33253,2.32956,2.0548,0.00992008,0.00992008,0.00992008
6,370.577,2.25929,2.17794,1.92684,0.41508,0.22578,0.19616,0.07439,2.16796,2.04707,1.92571,0.0099001,0.0099001,0.0099001
7,428.638,2.22371,2.12792,1.90973,0.22261,0.28277,0.19637,0.07893,2.15826,2.09822,1.91337,0.00988012,0.00988012,0.00988012
8,487.117,2.20431,2.08685,1.88684,0.18291,0.27482,0.19705,0.07833,2.12464,2.16576,1.89889,0.00986014,0.00986014,0.00986014
9,545.939,2.16041,2.04282,1.85964,0.4107,0.3095,0.21752,0.08718,2.15209,1.97318,1.86774,0.00984016,0.00984016,0.00984016
10,603.262,2.12512,2.00004,1.83674,0.40751,0.29747,0.21468,0.08727,2.05375,1.92957,1.84529,0.00982018,0.00982018,0.00982018
11,660.461,2.10054,1.96479,1.81533,0.56038,0.31237,0.21544,0.08484,2.12723,1.9378,1.88617,0.0098002,0.0098002,0.0098002
12,717.745,2.09622,1.95068,1.79631,0.72362,0.26272,0.21028,0.08217,2.15669,1.94503,1.87993,0.00978022,0.00978022,0.00978022
13,775.089,2.07683,1.92501,1.78233,0.40061,0.31524,0.23213,0.09653,2.06997,1.88575,1.83304,0.00976024,0.00976024,0.00976024
14,832.981,2.06748,1.92373,1.78738,0.41713,0.29364,0.22883,0.09356,2.05924,1.84633,1.81957,0.00974026,0.00974026,0.00974026
15,890.838,2.05957,1.91214,1.77595,0.37674,0.28981,0.23548,0.0983,2.07043,1.95156,1.83262,0.00972028,0.00972028,0.00972028
16,947.868,2.06233,1.88584,1.77087,0.422,0.31403,0.23186,0.09684,2.04718,1.85655,1.79623,0.0097003,0.0097003,0.0097003
17,1005.01,2.03665,1.87703,1.7649,0.40527,0.31746,0.23359,0.09966,1.95968,1.81678,1.77042,0.00968032,0.00968032,0.00968032
18,1062.25,2.01878,1.8505,1.74519,0.42921,0.31965,0.23404,0.09524,2.0436,1.80475,1.78716,0.00966034,0.00966034,0.00966034
19,1119.14,2.02236,1.86079,1.75018,0.57511,0.32341,0.23626,0.0998,2.06718,1.79641,1.8066,0.00964036,0.00964036,0.00964036
20,1176.6,2.00684,1.8208,1.72842,0.57338,0.31746,0.27373,0.11465,1.99132,1.86417,1.78991,0.00962038,0.00962038,0.00962038
21,1233.86,1.99855,1.81225,1.7232,0.39161,0.33785,0.27612,0.12644,2.04045,1.79238,1.7878,0.0096004,0.0096004,0.0096004
22,1291,2.00675,1.83366,1.7441,0.42085,0.30686,0.23867,0.098,2.01596,1.80245,1.78813,0.00958042,0.00958042,0.00958042
23,1347.98,1.981,1.80296,1.71822,0.56824,0.27202,0.23613,0.10162,2.04703,1.85385,1.80278,0.00956044,0.00956044,0.00956044
24,1405.37,1.96218,1.78796,1.70667,0.42162,0.31705,0.28658,0.12578,2.01269,1.78565,1.81732,0.00954046,0.00954046,0.00954046
