epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.601,3.36788,3.42864,2.70403,0,0,0,0,4.53298,5.20728,11.927,0.0702941,0.00330065,0.00330065
2,99.9434,2.63845,2.76619,2.10376,0.0872,0.10286,0.08236,0.0237,2.59725,2.90621,2.22912,0.040294,0.00663382,0.00663382
3,146.024,2.45177,2.54827,1.99465,0.1374,0.16946,0.11545,0.04401,2.71884,4.35769,2.43475,0.0102931,0.00996634,0.00996634
4,191.15,2.39529,2.46598,1.98035,0.3096,0.16979,0.2123,0.08905,2.39668,2.82808,2.05651,0.00999778,0.00999778,0.00999778
5,236.833,2.29569,2.31547,1.92861,0.23329,0.09204,0.14545,0.06848,2.31364,2.50111,2.13104,0.00999605,0.00999605,0.00999605
6,283.317,2.22467,2.22087,1.884,0.14078,0.13173,0.13355,0.05184,2.30798,2.19059,2.02503,0.00999383,0.00999383,0.00999383
7,333.129,2.20984,2.20724,1.90068,0.2521,0.09475,0.16301,0.06779,2.41089,2.52721,2.10451,0.00999112,0.00999112,0.00999112
8,384.717,2.18418,2.14918,1.86521,0.23451,0.14736,0.18398,0.0706,2.32727,2.39289,2.04722,0.00998792,0.00998792,0.00998792
9,437.611,2.14124,2.11534,1.83968,0.14982,0.13173,0.13068,0.05117,2.49493,2.35061,2.20749,0.00998422,0.00998422,0.00998422
10,489.604,2.11518,2.08411,1.82601,0.24788,0.11936,0.18357,0.08284,2.26823,2.15357,1.98438,0.00998003,0.00998003,0.00998003
11,541.501,2.11196,2.08808,1.84233,0.19639,0.145,0.16158,0.06705,2.48153,2.21921,2.19401,0.00997535,0.00997535,0.00997535
12,593.998,2.07419,2.04474,1.81395,0.23773,0.18049,0.19443,0.07909,2.28151,2.08022,1.98966,0.00997018,0.00997018,0.00997018
13,644.815,2.08547,2.04609,1.82831,0.27126,0.1365,0.1985,0.08092,2.34593,2.01798,2.02768,0.00996452,0.00996452,0.00996452
14,695.56,2.06456,2.0214,1.81075,0.19302,0.15701,0.17808,0.0807,2.26675,2.09546,1.95185,0.00995837,0.00995837,0.00995837
15,746.651,2.05499,2.00687,1.79859,0.28128,0.15627,0.20636,0.09156,2.16597,1.96001,1.91526,0.00995173,0.00995173,0.00995173
16,798.967,2.05347,1.99627,1.80975,0.17916,0.16204,0.15478,0.06523,2.39059,2.37104,2.14004,0.0099446,0.0099446,0.0099446
17,851.003,2.05362,2.02159,1.80955,0.23846,0.17318,0.20876,0.09902,2.19513,2.0245,1.8909,0.00993698,0.00993698,0.00993698
18,902.814,2.0217,1.99452,1.8005,0.14967,0.13485,0.14,0.05834,2.38959,2.19065,2.09876,0.00992888,0.00992888,0.00992888
19,954.771,2.02659,1.95622,1.77814,0.45455,0.12564,0.18988,0.09402,2.21204,1.96996,1.96298,0.00992029,0.00992029,0.00992029
20,1006.7,2.0194,1.98489,1.79159,0.25892,0.18461,0.20316,0.09054,2.18008,1.9926,1.94929,0.00991122,0.00991122,0.00991122
21,1057.83,2.00403,1.95284,1.78774,0.26794,0.16907,0.2109,0.09608,2.15317,1.97712,1.91332,0.00990166,0.00990166,0.00990166
22,1109.1,2.00419,1.93457,1.77764,0.23964,0.20092,0.19155,0.08707,2.17522,1.91658,1.92359,0.00989163,0.00989163,0.00989163
23,1159.97,2.01567,1.9458,1.78335,0.24114,0.18116,0.18766,0.08316,2.14241,1.9987,1.89431,0.00988111,0.00988111,0.00988111
24,1211.07,1.99002,1.92886,1.77186,0.24891,0.1595,0.19296,0.09069,2.17794,1.96034,1.92388,0.0098701,0.0098701,0.0098701
25,1262.06,1.96375,1.91359,1.76522,0.2414,0.18841,0.20786,0.09626,2.04416,1.93734,1.82867,0.00985862,0.00985862,0.00985862
26,1313.28,1.96933,1.91485,1.76375,0.24186,0.17165,0.19155,0.09132,2.15221,1.94672,1.89385,0.00984667,0.00984667,0.00984667
27,1363.97,1.96992,1.90613,1.76032,0.21009,0.15491,0.17965,0.08621,2.23534,1.92726,1.9777,0.00983423,0.00983423,0.00983423
28,1414.5,1.97752,1.88881,1.75782,0.23714,0.20903,0.19705,0.09297,2.05592,1.93906,1.79954,0.00982132,0.00982132,0.00982132
29,1465.49,1.96644,1.91154,1.75076,0.1663,0.15802,0.14694,0.07123,2.09792,1.90819,1.89437,0.00980794,0.00980794,0.00980794
30,1516.23,1.95219,1.89011,1.75508,0.43028,0.23304,0.31387,0.15681,2.05481,1.93026,1.83434,0.00979408,0.00979408,0.00979408
31,1568.28,1.94772,1.8962,1.75636,0.22398,0.19624,0.1953,0.08534,2.21233,1.99387,1.96586,0.00977975,0.00977975,0.00977975
32,1619.25,1.96544,1.88917,1.75428,0.2542,0.14024,0.19761,0.09297,2.13872,1.89994,1.92298,0.00976496,0.00976496,0.00976496
33,1669.4,1.94997,1.89092,1.75111,0.28298,0.19072,0.21881,0.10285,2.07708,1.85448,1.86318,0.00974969,0.00974969,0.00974969
34,1719.45,1.95882,1.89038,1.75718,0.24541,0.18266,0.20221,0.10024,2.05525,1.8607,1.85065,0.00973396,0.00973396,0.00973396
35,1770.45,1.93459,1.87611,1.74554,0.2945,0.18432,0.22035,0.10843,2.05644,1.90201,1.8703,0.00971777,0.00971777,0.00971777
36,1821.62,1.93881,1.88821,1.75903,0.27809,0.17413,0.21538,0.09983,2.0288,1.95668,1.82405,0.00970111,0.00970111,0.00970111
37,1871.57,1.95567,1.8819,1.74961,0.23088,0.18824,0.19474,0.08962,2.08129,1.86479,1.87684,0.00968399,0.00968399,0.00968399
38,1921.93,1.93631,1.85977,1.74474,0.25867,0.14164,0.19399,0.09252,2.1634,1.89914,1.94348,0.00966642,0.00966642,0.00966642
